All installed programs list generated by choco-package-list-backup on 2024-12-14.


DisplayName                                                        DisplayVersion   Publisher                   
-----------                                                        --------------   ---------                   
Visual Studio Build Tools 2022                                     17.12.1          Microsoft Corporation       
AMD Chipset Software                                               6.10.22.027      Advanced Micro Devices, Inc.
Battlelog Web Plugins                                              2.3.0            EA Digital Illusions CE AB  
                                                                                                                
EasyBCD 2.4                                                        2.4              NeoSmart Technologies       
ESN Sonar                                                          0.70.4           ESN Social Software AB      
FileZilla Pro 3.47.1                                               3.47.1           Tim Kosse                   
                                                                   1.3.195.39                                   
Microsoft Edge WebView2 Runtime                                    131.0.2903.86    Microsoft Corporation       
NoxPlayer                                                          7.0.6.1          Duodian Technology Co. Ltd. 
Microsoft OneDrive                                                 23.038.0219.0001 Microsoft Corporation       
PunkBuster Services                                                0.993            Even Balance, Inc.          
qBittorrent                                                        5.0.2            The qBittorrent project     
Red Dead Redemption                                                                                             
RivaTuner Statistics Server 7.3.6                                  7.3.6            Unwinder                    
Steam                                                              2.10.91.91       Valve Corporation           
                                                                                                                
vs_filehandler_x86                                                 17.12.35410      Microsoft Corporation       
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40664       12.0.40664.0     Microsoft Corporation       
Universal CRT Redistributable                                      10.0.26624       Microsoft Corporation       
Windows Software Development Kit - Windows 10.0.18362.1            10.1.18362.1     Microsoft Corporation       
Universal CRT Extension SDK                                        10.1.18362.1     Microsoft Corporation       
Windows Mobile Extension SDK Contracts                             10.1.18362.1     Microsoft Corporation       
Windows App Certification Kit x64                                  10.1.18362.1     Microsoft Corporation       
Windows SDK Desktop Libs arm64                                     10.1.18362.1     Microsoft Corporation       
vs_CoreEditorFonts                                                 17.7.40001       Microsoft Corporation       
                                                                                                                
                                                                                                                
                                                                                                                
                                                                                                                
                                                                                                                
                                                                                                                
                                                                                                                
                                                                                                                
                                                                                                                
                                                                                                                
                                                                                                                
                                                                                                                
                                                                                                                
Windows SDK ARM Desktop Tools                                      10.1.18362.1     Microsoft Corporation       
Windows SDK Modern Versioned Developer Tools                       10.1.18362.1     Microsoft Corporation       
Windows SDK for Windows Store Apps Libs                            10.1.18362.1     Microsoft Corporation       
Windows SDK Desktop Libs x86                                       10.1.18362.1     Microsoft Corporation       
WinRT Intellisense UAP - Other Languages                           10.1.18362.1     Microsoft Corporation       
Windows SDK Desktop Tools arm64                                    10.1.18362.1     Microsoft Corporation       
Windows Mobile Extension SDK                                       10.1.18362.1     Microsoft Corporation       
Battlefield 1                                                                       Electronic Arts, Inc.       
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030       11.0.61030.0     Microsoft Corporation       
Windows SDK Redistributables                                       10.1.18362.1     Microsoft Corporation       
WinRT Intellisense IoT - en-us                                     10.1.18362.1     Microsoft Corporation       
Windows SDK for Windows Store Apps                                 10.1.18362.1     Microsoft Corporation       
Windows Desktop Extension SDK Contracts                            10.1.18362.1     Microsoft Corporation       
Microsoft Visual Studio Setup Configuration                        3.12.29.16771    Microsoft Corporation       
Windows SDK                                                        10.1.18362.1     Microsoft Corporation       
Windows IoT Extension SDK Contracts                                10.1.18362.1     Microsoft Corporation       
Windows SDK Desktop Headers arm                                    10.1.18362.1     Microsoft Corporation       
Windows SDK Desktop Headers arm64                                  10.1.18362.1     Microsoft Corporation       
Windows SDK Signing Tools                                          10.1.18362.1     Microsoft Corporation       
Windows SDK DirectX x86 Remote                                     10.1.18362.1     Microsoft Corporation       
Windows SDK Desktop Tools x86                                      10.1.18362.1     Microsoft Corporation       
Windows SDK Desktop Libs x64                                       10.1.18362.1     Microsoft Corporation       
Chocolatey GUI                                                     2.1.1.0          Chocolatey                  
Windows App Certification Kit SupportedApiList x86                 10.1.18362.1     Microsoft Corporation       
Windows Team Extension SDK Contracts                               10.1.18362.1     Microsoft Corporation       
Microsoft Visual C++ 2022 X86 Debug Runtime - 14.42.34433          14.42.34433      Microsoft Corporation       
Windows SDK EULA                                                   10.1.18362.1     Microsoft Corporations      
Windows SDK for Windows Store Apps Metadata                        10.1.18362.1     Microsoft Corporation       
Kits Configuration Installer                                       10.1.18362.1     Microsoft                   
Windows SDK for Windows Store Apps Headers                         10.1.18362.1     Microsoft Corporation       
WinRT Intellisense PPI - en-us                                     10.1.18362.1     Microsoft Corporation       
SDK ARM Redistributables                                           10.1.18362.1     Microsoft Corporation       
Windows SDK Desktop Headers x64                                    10.1.18362.1     Microsoft Corporation       
WinRT Intellisense IoT - Other Languages                           10.1.18362.1     Microsoft Corporation       
WinRT Intellisense UAP - en-us                                     10.1.18362.1     Microsoft Corporation       
Windows Team Extension SDK                                         10.1.18362.1     Microsoft Corporation       
Universal General MIDI DLS Extension SDK                           10.1.18362.1     Microsoft Corporation       
Microsoft Visual C++ 2005 Redistributable                          8.0.61187        Microsoft Corporation       
vs_FileTracker_Singleton                                           17.12.35410      Microsoft Corporation       
SDK ARM Additions                                                  10.1.18362.1     Microsoft Corporation       
Python Launcher                                                    3.12.7150.0      Python Software Foundation  
Universal CRT Headers Libraries and Sources                        10.1.18362.1     Microsoft Corporation       
